[19.6678476890000,5.85837148518783;3.87970639242325,9.36105580219820;19.4074580402662,15.1612325749985;3.35034911503547,2.47721014293639;1.10224436156787,13.1487178759513]
[20.0458433728943,6.02196894842975;4.79993713602822,9.39959258104806;4.34362876407361,2.47721014293639;19.4074580402662,15.3720302453555;1.80826142051530,13.1932182372934]
[5.32540730953018,2.47721014293639;20.4158277189934,6.29335675201648;5.71391903294199,9.46372385734486;19.4074580402662,15.7210260281234;2.51241110891397,13.2673419540183]
[3.21376145491551,13.3710237280659;6.28998025886400,2.47721014293639;20.7738535944094,6.67062997820851;6.61854235972378,9.55330477031649;19.4074580402662,16.2047377187897]
[7.51071500679762,9.66813285843058;7.23169825185517,2.47721014293639;19.4074580402662,16.8183267005984;3.91138254159954,13.5041722025496;21.1160437877777,7.15113577833616]
[8.38736830641297,9.80794840232255;8.14498520711576,2.47721014293639;4.60434718997845,13.6666700221117;21.4386137818353,7.73148733023794;19.4074580402662,17.5556341234781]
[9.24546282354805,9.97243486481741;21.7378940708741,8.40758167145801;19.4074580402662,18.4092270066498;5.29173164031392,13.8583739104616;9.02435627139436,2.47721014293639]
[22.0103519131440,9.17462132481829;5.97261623132504,14.0791147650526;10.0819941005928,10.1612194273831;19.4074580402662,19.3704539585834;9.86443552328824,2.47721014293639]
[10.8939983467148,10.3738736222076;22.2526124108307,10.0271396151978;19.4074580402662,20.4295101438077;10.6599733835836,2.47721014293639;6.64608607686884,14.3286977688409]
[11.6785580628931,10.6099140589471;19.4074580402662,21.5755110642203;22.4614788132632,10.9590295590126;7.31123173967566,14.6069025190615;11.4058636851696,2.47721014293639]
[12.4328075936960,10.8688032450523;19.4074580402662,22.7965746633781;7.96714990172346,14.9134831729446;12.0971603563136,2.47721014293639;22.6339519425160,11.9635761910707]
[13.1539385969881,11.1499504984349;8.61294403083681,15.2481686102886;19.4074580402662,24.0799112061498;12.7290936720417,2.47721014293639;22.7672486445278,13.0334921772489]
[13.8392054228694,11.4527129510992;13.2970860294361,2.47721014293639;22.8588191732660,14.1609565458793;9.24772504309892,15.6106626127924;19.4074580402662,25.4119203334306]
[19.4074580402662,26.7782946426828;14.4859303932804,11.7763966422271;13.7967672038405,2.47721014293639;22.9063634202898,15.3376563559051;9.87061196066687,16.0006440600422]
[14.2239890442503,2.47721014293639;15.0915089738542,12.1202576990657;10.4807325645833,16.4177671420383;22.9078459072877,16.5548311058381;19.4074580402662,28.1641291001933]
